,,,,,,,,W,H,AVG,STD ERR
8,4,500,500,9113,18,66356,,8,4,18.2,11.5
12,4,500,500,20825,41,262644,,12,4,41.7,22.9
15,4,500,500,29857,59,456173,,15,4,59.7,30.2
8,8,500,500,12160,24,68447,,8,8,24.3,11.7
12,8,500,500,30790,61,391992,,12,8,61.6,28.0
15,8,500,500,45795,91,874456,,15,8,91.6,41.8
8,12,500,500,12920,25,61708,,8,12,25.8,11.1
12,12,500,500,31022,62,275645,,12,12,62.0,23.5
15,12,500,500,43372,86,421182,,15,12,86.7,29.0
8,16,500,500,13660,27,46086,,8,16,27.3,9.6
12,16,500,500,30319,60,164714,,12,16,60.6,18.2
15,16,500,500,40697,81,250419,,15,16,81.4,22.4
8,20,500,500,14240,28,30038,,8,20,28.5,7.8
12,20,500,500,29570,59,114048,,12,20,59.1,15.1
15,20,500,500,38743,77,133890,,15,20,77.5,16.4
